Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648486810903.8894, -120.10042442294743, -162.93202161372048, 55.40083915051066, -166.4486674513066, 89.96884318148457, -0.02539828579977837, -611.5712090710146, -727.9686345769588, 679.4383861327849, 45.17799995408522, 172.58211902169185, 5.735446128396899, 0.2243042290210724, 6.930542469024658, 1.2688647508621216, 0.2489776909351349, -0.0807495191693306, -0.01570129580795765, -1.119297981486129, 4.326820871491841, -6.94141377072572, -2.968973920138788, -0.08984034037943225, -0.10094863857674886, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486811905.383, -120.09769234727942, -162.93202161372048, 55.39947311267666, -166.4486674513066, 89.96953303059074, -0.026081304716779646, -611.5384772372349, -728.0068793674578, 679.4300424002669, 45.172629140145986, 172.58247025821842, 5.737236386355926, 0.2838135063648224, 6.953430652618408, 1.2845574617385864, 0.2579498589038849, -0.0807495191693306, -0.01570129580795765, -2.1140199714226853, 4.800198377266417, -7.176848515460544, -2.980111535094043, -0.28956254334776904, -0.032393910273668475, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486812905.6812, -120.09905838511342, -162.93131127404678, 55.40220518834467, -166.4473014134726, 89.96747031346139, -0.02539828579977837, -611.5513669230724, -727.9712591865808, 679.4625530754378, 45.17649307085714, 172.58500800523018, 5.7309131850736055, 0.2792358696460724, 6.958008289337158, 1.280073881149292, 0.2601929008960724, -0.0852356031537056, -0.01794433780014515, -1.8383522070304332, 4.9383703183684196, -7.478184587876648, -3.0530699495041422, -0.28033831383112695, -0.07589404257006388, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486813907.3242, -120.09769234727942, -162.92994523621277, 55.39947311267666, -166.4466183945556, 89.97021604950774, -0.026764323633780923, -611.5291021547748, -727.9962591182041, 679.4703274149686, 45.171789250205926, 172.58330618612845, 5.7307624799946915, 0.2197265923023224, 6.930542469024658, 1.27783203125, 0.2444916069507599, -0.0695343092083931, -0.01345825381577015, -1.370962990147272, 3.9773774227501675, -6.613093530174615, -2.839270180524189, -0.00855807009925507, -0.05889129463536211, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486814907.331, -120.10110744186443, -162.93202161372048, 55.40357122617867, -166.4466183945556, 89.96747031346139, -0.026764323633780923, -611.5759445905171, -727.950195800444, 679.4614315015568, 45.177613778222046, 172.5850268065842, 5.728836819639153, 0.2838135063648224, 6.944275379180908, 1.2554138898849487, 0.2400055229663849, -0.0762634351849556, -0.006729126907885075, -1.9377746785882353, 5.203330920187588, -7.710074310268435, -3.3097461472055665, -0.05568517408465197, 0.0859144805664847, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486815909.0437, -120.09769234727942, -162.93131127404678, 55.39947311267666, -166.4452250359649, 89.96816016256757, -0.026081304716779646, -611.5434865060352, -728.0080306932225, 679.4522556976574, 45.17322995250266, 172.584967853364, 5.731602612485525, 0.2792358696460724, 6.935120105743408, 1.2688647508621216, 0.2332763969898224, -0.0762634351849556, -0.01794433780014515, -2.2057687510283936, 4.52264912079298, -6.94458448740398, -3.144724752953504, -0.11764715301022281, -0.06261475594695504, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486816909.0588, -120.09905838511342, -162.93131127404678, 55.39876277300298, -166.4479844323896, 89.96816016256757, -0.024715266882777098, -611.5605233104123, -727.9894638874122, 679.4393709907658, 45.17705352397328, 172.58287907598614, 5.736797577170646, 0.2838135063648224, 6.967163562774658, 1.2643811702728271, 0.2534637749195099, -0.0919647291302681, -0.01794433780014515, -1.6026101072003387, 5.3223127967971715, -8.208805211816745, -3.3497814223995426, -0.2101569670421792, -0.08532132666743192, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486817910.0615, -120.09905838511342, -162.93202161372048, 55.40357122617867, -166.4473014134726, 89.96884318148457, -0.02813036146778347, -611.5440761002202, -727.9730063204521, 679.4593637592739, 45.172158699815334, 172.5849111209171, 5.729290851639543, 0.1922607570886612, 6.944275379180908, 1.2688647508621216, 0.2265472710132599, -0.0852356031537056, -0.01345825381577015, -0.9407339496206489, 3.697769719573589, -7.174674176664959, -3.181087438908613, 0.04763383373930656, -0.10689734301510798, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486818910.2495, -120.09905838511342, -162.93338765155448, 55.401522169427665, -166.4452250359649, 89.96953303059074, -0.02539828579977837, -611.5617281517914, -728.0005824851505, 679.4308808672902, 45.176070020156246, 172.5828367620562, 5.731043163628994, 0.2792358696460724, 6.958008289337158, 1.2845574617385864, 0.2422485649585724, -0.0807495191693306, -0.006729126907885075, -2.39969902643398, 4.538966281401812, -7.187951002068825, -3.117763544062534, -0.24372581699692147, 0.08861161998881177, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486819910.2532, -120.09974140403042, -162.93131127404678, 55.40288820726167, -166.4466183945556, 89.96678729454439, -0.027447342550782197, -611.5582453000018, -727.9622250750677, 679.4688553274266, 45.17465728171778, 172.58650614312404, 5.729101807831872, 0.2334595024585724, 6.971741199493408, 1.2733484506607056, 0.2444916069507599, -0.0852356031537056, -0.01345825381577015, -1.2054470860106492, 4.5168434460922775, -7.986519602144306, -3.24217684805069, -0.037193097631242684, -0.06747327160385409, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
